,Unnamed: 0,date,article,articleChange
0,0,2019-05-03,"Tesla to employees: if you leak, well catch you, well fire you, and we might sue you",4.580497006479122
1,1,2019-05-03,Teslas new safety features really push you to stay in your lane,4.580497006479122
2,2,2019-05-01,Tesla sued by family of man killed in Autopilot-related crash,-2.0263763868536757
3,3,2019-04-30,The court has approved Elon Musks new agreement to let lawyers oversee his Tesla tweets,-1.392216805750642
4,4,2019-04-30,Tesla has slashed the price of its solar panels in an attempt to revive sales,-1.392216805750642
5,5,2019-04-24,Tesla lost $702 million last quarter after drop in Model 3 deliveries,-1.9670267197271167
6,6,2019-04-24,Teslas new AI chip isnt a silver bullet for self-driving cars,-1.9670267197271167
7,7,2019-04-24,Its Elon Musk vs. everyone else in the race for fully driverless cars,-1.9670267197271167
8,8,2019-04-24,Tesla now sells electric cars with 370 miles of range,-1.9670267197271167
9,9,2019-04-23,Former Tesla Model S chief engineer takes over at EV startup Lucid Motors,1.4414760714972132
10,10,2019-04-22,"Teslas new self-driving chip is here, and this is your best look yet",-2.3234200743494418
11,11,2019-04-22,Here are Elon Musks wildest predictions about Teslas self-driving cars,-2.3234200743494418
12,12,2019-04-22,Elon Musk says Tesla will allow aggressive Autopilot mode with slight chance of a fender bender,-2.3234200743494418
13,13,2019-04-22,Heres how to watch Teslas self-driving event today,-2.3234200743494418
14,14,2019-04-20,Tesla gets restraining order on short-seller who photographed employees,0.0
15,15,2019-04-20,What if Elon Musks $420 dream hadnt gone up in smoke? ,0.0
16,16,2019-04-12,"Teslas original plan for the $35,000 Model 3 is dead ",-0.9325734586633256
17,17,2019-04-12,"Teslas $35,000 Model 3 is no longer available to order online",-0.9325734586633256
18,18,2019-04-11,Tesla still isnt getting enough batteries from Panasonic,0.04472605292583098
19,19,2019-04-08,Fiat Chrysler will pay Tesla to dodge billions in emissions fines,-1.6169109438582625
20,20,2019-04-05,Elon Musk explains the camera inside Teslas Model 3,1.889868820870068
21,21,2019-04-04,Elon Musk ordered to work things out with the SEC over his tweets,2.2490358547481715
22,22,2019-04-03,"Tesla is selling fewer cars, but says it has sufficient cash",1.5627175274954783
23,23,2019-04-03,Your Tesla can now change lanes without asking permission,1.5627175274954783
24,24,2019-04-01,Tesla penalized for violating hazardous waste law at California factory,2.3211379237138217
25,25,2019-03-29,Tesla Model 3 hack shows new cars can snitch on owners after a wreck,0.4162181557230086
26,26,2019-03-27,Tesla changes return policy after Elon Musks contradictory tweets,2.262325581395343
27,27,2019-03-26,"Teslas $35,000 Model 3 still isnt here",1.2592648615943065
28,28,2019-03-24,Tesla is adding a stop light warning to Autopilot ,0.0
29,29,2019-03-24,Chinese EV startup XPeng is at the center of major trade secret disputes with Apple and Tesla,0.0
30,30,2019-03-22,Elon Musk says the SECs attempt to hold him in contempt is virtually wrong at every level,-2.9532614278377034
31,31,2019-03-21,Tesla brings back its customer referral program  with fewer free cars,0.5209097578869989
32,32,2019-03-21,Tesla accuses self-driving startup Zoox and former employees of trade secret theft,0.5209097578869989
33,33,2019-03-19,Tesla delays price hike because of unusually high volume of last-minute orders,-0.011214953271017838
34,34,2019-03-18,The SEC says Elon Musk is in blatant violation of securities fraud settlement,-2.35869565217391
35,35,2019-03-15,Elon Musks last two weeks have been a wild ride,-2.84998765475644
36,36,2019-03-15,My brief but familiar ride in Teslas brand-new Model Y,-2.84998765475644
37,37,2019-03-15,Watch this supercut of Elon Musk unveiling Teslas new Model Y,-2.84998765475644
38,38,2019-03-15,Tesla Model Y preorders are now live,-2.84998765475644
39,39,2019-03-14,"Tesla Model Y announced: release set for 2020, price starts at $47,000",-0.8514275944605947
40,40,2019-03-14,Watch the Tesla Model Y reveal live,-0.8514275944605947
41,41,2019-03-14,What to expect at Teslas Model Y event,-0.8514275944605947
42,42,2019-03-14,The Model Y will be a test of Teslas popularity,-0.8514275944605947
43,43,2019-03-14,Tesla Model Y: Elon Musks fifth electric car is a compact SUV,-0.8514275944605947
44,44,2019-03-13,"Tesla allegedly hacked, spied on, and followed Gigafactory whistleblower: report",1.7823177175061649
45,45,2019-03-11,Elon Musk says the SEC is making an unconstitutional power grab over his tweets,2.6100451467268746
46,46,2019-03-11,Another former Tesla security manager says the company spied on employees,2.6100451467268746
47,47,2019-03-11,"Tesla will raise prices on its cars, reverses plan to close stores",2.6100451467268746
48,48,2019-03-09,Elon Musks high-speed tunnel project is the big loser in Chicagos race for mayor,0.0
49,49,2019-03-07,German regulators tell Tesla to drop gas savings from pricing,-0.8069143594893129
50,50,2019-03-07,Can a judge order Elon Musk to delete his Twitter account?,-0.8069143594893129
51,51,2019-03-06,Tesla launches faster third generation Supercharger ,-0.08680555555555884
52,52,2019-03-06,The Polestar 2s secret weapon against the Tesla Model 3 is native Android Auto,-0.08680555555555884
53,53,2019-03-05,Tesla competitors made a big splash at last years Geneva Motor Show  so where are they now? ,-1.9361702127659504
54,54,2019-03-03,Tesla Model Y SUV will be unveiled March 14th,0.0
55,55,2019-03-01,Tesla makes huge price cuts to Model S and Model X ,-3.958428357333674
56,56,2019-02-28,Teslas controversial full self-driving version of Autopilot is back,0.3010159287595571
57,57,2019-02-28,Tesla will close most of its stores and only sell cars online,0.3010159287595571
58,58,2019-02-28,"Teslas promised $35,000 Model 3 is finally here",0.3010159287595571
59,59,2019-02-28,Tesla is making a mystery announcement at 2PM PT,0.3010159287595571
60,60,2019-02-27,The Polestar 2 is a Google-powered all-electric Tesla competitor,4.294519186162116
61,61,2019-02-25,Elon Musk might be held in contempt of court over a Tesla tweet,0.2886777885938561
62,62,2019-02-25,Zeros new electric motorcycle justifies the comparisons to Tesla,0.2886777885938561
63,63,2019-02-25,The political winds in Chicago are blowing against Elon Musks high-speed tunnel project,0.2886777885938561
64,64,2019-02-22,Teslas Model 3 was the best-selling EV in the world last year,0.0747054229345548
65,65,2019-02-22,Elon Musk pokes fun at himself while hosting PewDiePies popular Meme Review,0.0747054229345548
66,66,2019-02-21,"Consumer Reports reverses itself again, no longer recommends Tesla Model 3",-3.50551671581458
67,67,2019-02-15,Teslas latest challenge is finding new customers for the Model 3,1.1100164203612464
68,68,2019-02-14,Teslas new Dog and Sentry modes take care even when you dont,0.12855165139428648
69,69,2019-02-07,Autopilot is disabled on Teslas first Model 3 deliveries in Europe,-1.848068943504635
70,70,2019-02-07,Amazon invests in self-driving car startup run by former Google and Tesla executives,-1.848068943504635
71,71,2019-02-07,Tesla makes its first Model 3 deliveries in Europe,-1.848068943504635
72,72,2019-02-06,"Teslas Model 3 pricing inches closer to $35,000 target",-0.7415751431521473
