,date,article
0,2019-05-03,"Tesla to employees: if you leak, well catch you, well fire you, and we might sue you"
1,2019-05-03,Teslas new safety features really push you to stay in your lane
2,2019-05-01,Tesla sued by family of man killed in Autopilot-related crash
3,2019-04-30,The court has approved Elon Musks new agreement to let lawyers oversee his Tesla tweets
4,2019-04-30,Tesla has slashed the price of its solar panels in an attempt to revive sales
5,2019-04-24,Tesla lost $702 million last quarter after drop in Model 3 deliveries
6,2019-04-24,Teslas new AI chip isnt a silver bullet for self-driving cars
7,2019-04-24,Its Elon Musk vs. everyone else in the race for fully driverless cars
8,2019-04-24,Tesla now sells electric cars with 370 miles of range
9,2019-04-23,Former Tesla Model S chief engineer takes over at EV startup Lucid Motors
10,2019-04-22,"Teslas new self-driving chip is here, and this is your best look yet"
11,2019-04-22,Here are Elon Musks wildest predictions about Teslas self-driving cars
12,2019-04-22,Elon Musk says Tesla will allow aggressive Autopilot mode with slight chance of a fender bender
13,2019-04-22,Heres how to watch Teslas self-driving event today
14,2019-04-20,Tesla gets restraining order on short-seller who photographed employees
15,2019-04-20,What if Elon Musks $420 dream hadnt gone up in smoke? 
16,2019-04-12,"Teslas original plan for the $35,000 Model 3 is dead "
17,2019-04-12,"Teslas $35,000 Model 3 is no longer available to order online"
18,2019-04-11,Tesla still isnt getting enough batteries from Panasonic
19,2019-04-08,Fiat Chrysler will pay Tesla to dodge billions in emissions fines
20,2019-04-05,Elon Musk explains the camera inside Teslas Model 3
21,2019-04-04,Elon Musk ordered to work things out with the SEC over his tweets
22,2019-04-03,"Tesla is selling fewer cars, but says it has sufficient cash"
23,2019-04-03,Your Tesla can now change lanes without asking permission
24,2019-04-01,Tesla penalized for violating hazardous waste law at California factory
25,2019-03-29,Tesla Model 3 hack shows new cars can snitch on owners after a wreck
26,2019-03-27,Tesla changes return policy after Elon Musks contradictory tweets
27,2019-03-26,"Teslas $35,000 Model 3 still isnt here"
28,2019-03-24,Tesla is adding a stop light warning to Autopilot 
29,2019-03-24,Chinese EV startup XPeng is at the center of major trade secret disputes with Apple and Tesla
30,2019-03-22,Elon Musk says the SECs attempt to hold him in contempt is virtually wrong at every level
31,2019-03-21,Tesla brings back its customer referral program  with fewer free cars
32,2019-03-21,Tesla accuses self-driving startup Zoox and former employees of trade secret theft
33,2019-03-19,Tesla delays price hike because of unusually high volume of last-minute orders
34,2019-03-18,The SEC says Elon Musk is in blatant violation of securities fraud settlement
35,2019-03-15,Elon Musks last two weeks have been a wild ride
36,2019-03-15,My brief but familiar ride in Teslas brand-new Model Y
37,2019-03-15,Watch this supercut of Elon Musk unveiling Teslas new Model Y
38,2019-03-15,Tesla Model Y preorders are now live
39,2019-03-14,"Tesla Model Y announced: release set for 2020, price starts at $47,000"
40,2019-03-14,Watch the Tesla Model Y reveal live
41,2019-03-14,What to expect at Teslas Model Y event
42,2019-03-14,The Model Y will be a test of Teslas popularity
43,2019-03-14,Tesla Model Y: Elon Musks fifth electric car is a compact SUV
44,2019-03-13,"Tesla allegedly hacked, spied on, and followed Gigafactory whistleblower: report"
45,2019-03-11,Elon Musk says the SEC is making an unconstitutional power grab over his tweets
46,2019-03-11,Another former Tesla security manager says the company spied on employees
47,2019-03-11,"Tesla will raise prices on its cars, reverses plan to close stores"
48,2019-03-09,Elon Musks high-speed tunnel project is the big loser in Chicagos race for mayor
49,2019-03-07,German regulators tell Tesla to drop gas savings from pricing
50,2019-03-07,Can a judge order Elon Musk to delete his Twitter account?
51,2019-03-06,Tesla launches faster third generation Supercharger 
52,2019-03-06,The Polestar 2s secret weapon against the Tesla Model 3 is native Android Auto
53,2019-03-05,Tesla competitors made a big splash at last years Geneva Motor Show  so where are they now? 
54,2019-03-03,Tesla Model Y SUV will be unveiled March 14th
55,2019-03-01,Tesla makes huge price cuts to Model S and Model X 
56,2019-02-28,Teslas controversial full self-driving version of Autopilot is back
57,2019-02-28,Tesla will close most of its stores and only sell cars online
58,2019-02-28,"Teslas promised $35,000 Model 3 is finally here"
59,2019-02-28,Tesla is making a mystery announcement at 2PM PT
60,2019-02-27,The Polestar 2 is a Google-powered all-electric Tesla competitor
61,2019-02-25,Elon Musk might be held in contempt of court over a Tesla tweet
62,2019-02-25,Zeros new electric motorcycle justifies the comparisons to Tesla
63,2019-02-25,The political winds in Chicago are blowing against Elon Musks high-speed tunnel project
